name,ticker,cap_tier,sector,sub_segment,close_price,ret_1y,ret_2y,ret_3y,ret_4y,ret_5y,ret_6y,re_mw,re_pct,annual_mu,grid_tariff,solar_cost,unit_shield,annual_shield_cr,primary_model,targets
Tube Investments,TIINDIA,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,2698.0,-8.0,14.0,51.0,113.0,225.0,317.0,10.4,12.0,15.6,8.9,3.7,5.2,81.1,Group Captive Solar & Rooftop PV (SEBI Rank #202),Targeting >37% clean electricity mix
M & M Fin. Serv.,M&MFIN,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,373.65,-7.0,16.0,54.0,117.0,230.0,323.0,10.4,13.0,15.6,8.9,3.7,5.2,81.1,Group Captive Solar & Rooftop PV (SEBI Rank #203),Targeting >38% clean electricity mix
F A C T,FACT,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,801.4,-6.0,18.0,57.0,121.0,235.0,329.0,10.4,14.0,15.6,8.9,3.7,5.2,81.1,Group Captive Solar & Rooftop PV (SEBI Rank #204),Targeting >39% clean electricity mix
Sundaram Finance,SUNDARMFIN,Large Cap,Banking & Financial Services,BFSI,4648.7,-5.0,20.0,60.0,125.0,240.0,335.0,10.3,15.0,15.5,8.9,3.7,5.2,80.6,Group Captive Solar & Rooftop PV (SEBI Rank #205),Targeting >40% clean electricity mix
Hindustan Copper,HINDCOPPER,Large Cap,Diversified & Manufacturing,Diversified Conglomerates,521.65,-4.0,22.0,63.0,129.0,245.0,341.0,10.1,16.0,15.1,8.9,3.7,5.2,78.5,Group Captive Solar & Rooftop PV (SEBI Rank #206),Targeting >41% clean electricity mix
Knowledge Realty,KRT,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,112.49,0.0,30.0,75.0,145.0,265.0,365.0,10.0,20.0,15.0,8.9,3.7,5.2,78.0,Group Captive Solar & Rooftop PV (SEBI Rank #210),Targeting >45% clean electricity mix
Colgate-Palmoliv,COLPAL,Mid Cap,FMCG & Consumer Goods,FMCG & Consumer Packaged Goods,1829.2,2.0,34.0,81.0,153.0,275.0,377.0,10.0,22.0,15.0,8.9,3.7,5.2,78.0,Group Captive Solar & Rooftop PV (SEBI Rank #212),Targeting >47% clean electricity mix
Vishal Mega Mart,VMM,Mid Cap,Capital Goods & Engineering,Heavy Engineering & Capital Goods,106.14,3.0,36.0,84.0,157.0,280.0,383.0,9.9,23.0,14.9,8.9,3.7,5.2,77.5,Group Captive Solar & Rooftop PV (SEBI Rank #213),Targeting >48% clean electricity mix
Guj. Ambuja Exp,GAEL,Small Cap,Cement & Building Materials,Cement & Building Materials,167.81,28.0,46.0,94.0,167.0,290.0,423.0,11.5,18.0,17.2,8.2,3.8,4.4,75.7,Group Captive Solar & Rooftop PV (SEBI Rank #693),Targeting >43% clean electricity mix
Star Cement,STARCEMENT,Small Cap,Cement & Building Materials,Cement & Building Materials,190.19,30.0,50.0,100.0,175.0,300.0,435.0,11.5,20.0,17.2,8.2,3.8,4.4,75.7,Group Captive Solar & Rooftop PV (SEBI Rank #695),Targeting >45% clean electricity mix
Indo-MIM,INDOMIM,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,971.5,7.0,44.0,96.0,173.0,300.0,407.0,9.6,27.0,14.4,8.9,3.7,5.2,74.9,Group Captive Solar & Rooftop PV (SEBI Rank #217),Targeting >52% clean electricity mix
Ramkrishna Forg.,RKFORGE,Small Cap,Automotive & 2W/3W,Auto Ancillary & Components,700.85,1.0,42.0,113.0,189.0,275.0,401.0,10.2,61.0,15.3,8.6,3.75,4.85,74.2,Group Captive Solar & Rooftop PV (SEBI Rank #536),Targeting >86% clean electricity mix
Cera Sanitary.,CERA,Small Cap,Cement & Building Materials,Cement & Building Materials,5787.5,41.0,72.0,133.0,219.0,355.0,501.0,11.2,31.0,16.8,8.2,3.8,4.4,73.9,Group Captive Solar & Rooftop PV (SEBI Rank #706),Targeting >56% clean electricity mix
Pine Labs,PINELABS,Mid Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,166.37,-13.0,19.0,66.0,158.0,220.0,352.0,10.7,27.0,16.0,8.4,3.8,4.6,73.6,Group Captive Solar & Rooftop PV (SEBI Rank #392),Targeting >52% clean electricity mix
KEI Industries,KEI,Mid Cap,Capital Goods & Engineering,Heavy Engineering & Capital Goods,4850.0,8.0,46.0,99.0,177.0,305.0,413.0,9.3,28.0,14.0,8.9,3.7,5.2,72.8,Group Captive Solar & Rooftop PV (SEBI Rank #218),Targeting >53% clean electricity mix
360 ONE,360ONE,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1137.0,9.0,48.0,102.0,181.0,310.0,419.0,9.3,29.0,14.0,8.9,3.7,5.2,72.8,Group Captive Solar & Rooftop PV (SEBI Rank #219),Targeting >54% clean electricity mix
Power Mech Proj.,POWERMECH,Small Cap,Power Utilities & Cleantech,Renewable Energy & Power,2306.1,-10.0,-10.0,5.0,25.0,55.0,215.0,10.9,15.0,16.4,8.2,3.8,4.4,72.2,Group Captive Solar & Rooftop PV (SEBI Rank #720),Targeting >40% clean electricity mix
Bharat Dynamics,BDL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1255.0,11.0,52.0,108.0,189.0,320.0,431.0,9.2,31.0,13.8,8.9,3.7,5.2,71.8,Group Captive Solar & Rooftop PV (SEBI Rank #221),Targeting >56% clean electricity mix
Trident,TRIDENT,Small Cap,Textiles & Apparel,Textiles & Apparel,24.16,18.0,31.0,59.0,152.0,255.0,398.0,9.8,28.0,14.7,8.6,3.75,4.85,71.3,Group Captive Solar & Rooftop PV (SEBI Rank #553),Targeting >53% clean electricity mix
ASK Automotive,ASKAUTOLTD,Small Cap,Automotive & 2W/3W,Auto Ancillary & Components,618.85,22.0,39.0,71.0,168.0,275.0,422.0,9.8,32.0,14.7,8.6,3.75,4.85,71.3,Group Captive Solar & Rooftop PV (SEBI Rank #557),Targeting >57% clean electricity mix
Premier Energies,PREMIERENE,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1002.0,12.0,54.0,111.0,193.0,325.0,437.0,9.1,32.0,13.6,8.9,3.7,5.2,70.7,Group Captive Solar & Rooftop PV (SEBI Rank #222),Targeting >57% clean electricity mix
Aegis Logistics,AEGISLOG,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1270.2,13.0,56.0,114.0,197.0,330.0,443.0,8.9,33.0,13.4,8.9,3.7,5.2,69.7,Group Captive Solar & Rooftop PV (SEBI Rank #223),Targeting >58% clean electricity mix
Rail Vikas,RVNL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,212.49,14.0,58.0,117.0,201.0,335.0,449.0,8.9,34.0,13.4,8.9,3.7,5.2,69.7,Group Captive Solar & Rooftop PV (SEBI Rank #224),Targeting >59% clean electricity mix
Inox Green,INOXGREEN,Small Cap,Power Utilities & Cleantech,Renewable Energy & Power,175.1,2.0,14.0,41.0,73.0,115.0,287.0,10.5,27.0,15.8,8.2,3.8,4.4,69.5,Group Captive Solar & Rooftop PV (SEBI Rank #732),Targeting >52% clean electricity mix
Inox Wind Ltd,INOXWIND,Small Cap,Power Utilities & Cleantech,Wind Turbine manufacturing + Hybrid plants,74.4,-46.9,-68.7,54.2,101.6,203.7,663.1,80.0,70.0,150.0,7.9,3.3,4.6,69.0,Wind Turbine manufacturing + Hybrid plants,Net Zero operations by 2030
Bharat Forge Ltd,BHARATFORG,Large Cap,Automotive & Ancillary,Group Captive Solar in Maharashtra,1956.0,61.3,29.0,79.2,181.2,165.2,337.0,52.0,36.0,135.0,8.9,3.8,5.1,68.9,Group Captive Solar in Maharashtra,Carbon Neutral by 2040
Garware Hi Tech,GRWRHITECH,Mid Cap,IT & Software Services,IT & Digital Services,7086.5,34.0,68.0,102.0,161.0,270.0,449.0,8.2,84.0,12.3,9.2,3.6,5.6,68.9,Group Captive Solar & Rooftop PV (SEBI Rank #439),Targeting >100% clean electricity mix
Authum Invest,AIIL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,519.9,16.0,17.0,78.0,164.0,300.0,416.0,8.8,11.0,13.2,8.9,3.7,5.2,68.6,Group Captive Solar & Rooftop PV (SEBI Rank #226),Targeting >36% clean electricity mix
Indian Metals,IMFA,Small Cap,Metals & Mining,Metals & Mining,1288.4,5.0,20.0,50.0,85.0,130.0,305.0,10.4,30.0,15.6,8.2,3.8,4.4,68.6,Group Captive Solar & Rooftop PV (SEBI Rank #735),Targeting >55% clean electricity mix
Aarti Industries,AARTIIND,Mid Cap,Chemicals & Petrochemicals,Specialty Chemicals,492.05,7.0,14.0,81.0,113.0,195.0,347.0,9.9,47.0,14.9,8.4,3.8,4.6,68.5,Group Captive Solar & Rooftop PV (SEBI Rank #412),Targeting >72% clean electricity mix
Zen Technologies,ZENTEC,Mid Cap,IT & Software Services,IT & Digital Services,1801.4,38.0,76.0,114.0,177.0,290.0,473.0,8.1,48.0,12.1,9.2,3.6,5.6,67.8,Group Captive Solar & Rooftop PV (SEBI Rank #443),Targeting >73% clean electricity mix
Thermax,THERMAX,Mid Cap,Capital Goods & Engineering,Heavy Engineering & Capital Goods,3637.6,20.0,25.0,90.0,180.0,320.0,440.0,8.7,15.0,13.0,8.9,3.7,5.2,67.6,Group Captive Solar & Rooftop PV (SEBI Rank #230),Targeting >40% clean electricity mix
KFin Technolog.,KFINTECH,Mid Cap,IT & Software Services,IT & Digital Services,928.9,43.0,86.0,129.0,197.0,315.0,503.0,8.0,53.0,12.0,9.2,3.6,5.6,67.2,Group Captive Solar & Rooftop PV (SEBI Rank #448),Targeting >78% clean electricity mix
Petronet LNG,PETRONET,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,288.1,22.0,29.0,96.0,188.0,330.0,452.0,8.6,17.0,12.9,8.9,3.7,5.2,67.1,Group Captive Solar & Rooftop PV (SEBI Rank #232),Targeting >42% clean electricity mix
KPIT Technologi.,KPITTECH,Mid Cap,IT & Software Services,IT & Digital Services,575.45,-11.0,-2.0,52.0,131.0,260.0,309.0,7.9,64.0,11.9,9.2,3.6,5.6,66.6,Group Captive Solar & Rooftop PV (SEBI Rank #459),Targeting >89% clean electricity mix
SRF Ltd,SRF,Large Cap,Chemicals & Petrochemicals,Open Access Solar in Rajasthan & MP,2547.0,-9.8,2.0,13.2,1.7,12.9,208.3,65.0,22.0,160.0,8.0,3.85,4.15,66.4,Open Access Solar in Rajasthan & MP,35% RE by 2028
Deepak Fertilis.,DEEPAKFERT,Mid Cap,Chemicals & Petrochemicals,Specialty Chemicals,1362.1,16.0,32.0,48.0,89.0,180.0,341.0,9.6,21.0,14.4,8.4,3.8,4.6,66.2,Group Captive Solar & Rooftop PV (SEBI Rank #421),Targeting >46% clean electricity mix
Powerica Ltd,POWERICA,Small Cap,Power Utilities & Cleantech,Renewable Energy & Power,525.05,27.0,64.0,116.0,173.0,240.0,287.0,10.0,22.0,15.0,8.2,3.8,4.4,66.0,Group Captive Solar & Rooftop PV (SEBI Rank #757),Targeting >47% clean electricity mix
Gensol Engineering Ltd,GENSOL,Small Cap,Power Utilities & Cleantech,Solar EPC Developer & Captive Assets,17.3,-58.3,-97.9,-97.4,-97.2,-97.2,-97.2,85.0,80.0,140.0,7.9,3.2,4.7,65.8,Solar EPC Developer & Captive Assets,1 GW renewable development portfolio
Welspun Enterp,WELENT,Small Cap,Textiles & Apparel,Textiles & Apparel,813.6,38.0,71.0,119.0,152.0,275.0,438.0,9.0,48.0,13.5,8.6,3.75,4.85,65.5,Group Captive Solar & Rooftop PV (SEBI Rank #573),Targeting >73% clean electricity mix
Larsen & Toubro Ltd,LT,Large Cap,Capital Goods & Engineering,Rooftop & Ground Mounted Solar (Hazira/Chennai),3964.1,8.3,7.9,31.1,114.5,132.8,339.7,65.0,38.0,145.0,8.4,3.9,4.5,65.3,Rooftop & Ground Mounted Solar (Hazira/Chennai),Water & Carbon Neutral by 2040
Embassy Off.REIT,EMBASSY,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,438.69,23.0,31.0,99.0,192.0,335.0,458.0,8.3,18.0,12.5,8.9,3.7,5.2,65.0,Group Captive Solar & Rooftop PV (SEBI Rank #233),Targeting >43% clean electricity mix
Poonawalla Fin,POONAWALLA,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,468.45,24.0,33.0,102.0,196.0,340.0,464.0,8.3,19.0,12.5,8.9,3.7,5.2,65.0,Group Captive Solar & Rooftop PV (SEBI Rank #234),Targeting >44% clean electricity mix
Zydus Wellness,ZYDUSWELL,Mid Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,531.7,23.0,46.0,69.0,117.0,215.0,383.0,9.4,28.0,14.1,8.4,3.8,4.6,64.9,Group Captive Solar & Rooftop PV (SEBI Rank #428),Targeting >53% clean electricity mix
Shadowfax Technologies,SHADOWFAX,Mid Cap,IT & Software Services,IT & Digital Services,259.55,1.0,22.0,88.0,179.0,320.0,381.0,7.6,76.0,11.4,9.2,3.6,5.6,63.8,Group Captive Solar & Rooftop PV (SEBI Rank #471),Targeting >100% clean electricity mix
Shivalik Bimetal,SBCL,Small Cap,Metals & Mining,Metals & Mining,1121.1,40.0,45.0,110.0,180.0,260.0,320.0,9.7,35.0,14.5,8.2,3.8,4.4,63.8,Group Captive Solar & Rooftop PV (SEBI Rank #770),Targeting >60% clean electricity mix
Astral,ASTRAL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1492.9,27.0,39.0,111.0,208.0,355.0,482.0,8.0,22.0,12.0,8.9,3.7,5.2,62.4,Group Captive Solar & Rooftop PV (SEBI Rank #237),Targeting >47% clean electricity mix
Concord Biotech,CONCORDBIO,Small Cap,IT & Software Services,IT & Digital Services,1417.1,11.0,42.0,58.0,79.0,110.0,181.0,7.4,46.0,11.1,9.2,3.6,5.6,62.2,Group Captive Solar & Rooftop PV (SEBI Rank #481),Targeting >71% clean electricity mix
JK Tyre & Indust,JKTYRE,Small Cap,Automotive & 2W/3W,Auto Ancillary & Components,367.35,-7.0,1.0,69.0,122.0,265.0,448.0,8.5,68.0,12.8,8.6,3.75,4.85,62.1,Group Captive Solar & Rooftop PV (SEBI Rank #593),Targeting >93% clean electricity mix
Global Health,MEDANTA,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1469.8,28.0,41.0,114.0,212.0,360.0,488.0,7.9,23.0,11.9,8.9,3.7,5.2,61.9,Group Captive Solar & Rooftop PV (SEBI Rank #238),Targeting >48% clean electricity mix
AIA Engineering,AIAENG,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,4231.2,29.0,43.0,117.0,216.0,365.0,494.0,7.9,24.0,11.9,8.9,3.7,5.2,61.9,Group Captive Solar & Rooftop PV (SEBI Rank #239),Targeting >49% clean electricity mix
Cochin Shipyard,COCHINSHIP,Mid Cap,Capital Goods & Engineering,Heavy Engineering & Capital Goods,1499.1,30.0,45.0,60.0,80.0,110.0,240.0,7.9,25.0,11.9,8.9,3.7,5.2,61.9,Group Captive Solar & Rooftop PV (SEBI Rank #240),Targeting >50% clean electricity mix
Sunflag Iron,SUNFLAG,Small Cap,Metals & Mining,Metals & Mining,343.7,-14.0,2.0,18.0,99.0,190.0,261.0,9.3,16.0,14.0,8.2,3.8,4.4,61.6,Group Captive Solar & Rooftop PV (SEBI Rank #781),Targeting >41% clean electricity mix
Greenlam Industr,GREENLAM,Small Cap,Power Utilities & Cleantech,Renewable Energy & Power,242.62,-12.0,6.0,24.0,107.0,200.0,273.0,9.3,18.0,14.0,8.2,3.8,4.4,61.6,Group Captive Solar & Rooftop PV (SEBI Rank #783),Targeting >43% clean electricity mix
HCL Technologies Ltd,HCLTECH,Large Cap,IT & Software Services,Campus Rooftop PV + Green Open Access,1293.4,-6.6,-28.0,4.7,38.7,1.1,59.4,32.0,62.0,110.0,9.2,3.65,5.55,61.1,Campus Rooftop PV + Green Open Access,"RE100, Net Zero by 2040"
Avalon Tech,AVALON,Small Cap,IT & Software Services,IT & Digital Services,2196.6,20.0,60.0,85.0,115.0,155.0,235.0,7.3,55.0,10.9,9.2,3.6,5.6,61.0,Group Captive Solar & Rooftop PV (SEBI Rank #490),Targeting >80% clean electricity mix
Cartrade Tech,CARTRADE,Small Cap,IT & Software Services,IT & Digital Services,3000.2,25.0,25.0,55.0,90.0,135.0,220.0,7.3,60.0,10.9,9.2,3.6,5.6,61.0,Group Captive Solar & Rooftop PV (SEBI Rank #495),Targeting >85% clean electricity mix
Godrej Industrie,GODREJIND,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1163.5,32.0,49.0,66.0,88.0,120.0,252.0,7.8,27.0,11.7,8.9,3.7,5.2,60.8,Group Captive Solar & Rooftop PV (SEBI Rank #242),Targeting >52% clean electricity mix
Tata Chemicals,TATACHEM,Mid Cap,Chemicals & Petrochemicals,Specialty Chemicals,625.1,46.0,47.0,93.0,164.0,285.0,326.0,8.8,51.0,13.2,8.4,3.8,4.6,60.7,Group Captive Solar & Rooftop PV (SEBI Rank #451),Targeting >76% clean electricity mix
Alembic Pharma,APLLTD,Mid Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,808.2,49.0,53.0,102.0,176.0,300.0,344.0,8.8,54.0,13.2,8.4,3.8,4.6,60.7,Group Captive Solar & Rooftop PV (SEBI Rank #454),Targeting >79% clean electricity mix
Vikram Solar,VIKRAMSOLR,Small Cap,Power Utilities & Cleantech,Renewable Energy & Power,168.45,-8.0,14.0,36.0,123.0,220.0,297.0,9.2,22.0,13.8,8.2,3.8,4.4,60.7,Group Captive Solar & Rooftop PV (SEBI Rank #787),Targeting >47% clean electricity mix
Container Corpn.,CONCOR,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,508.0,35.0,55.0,75.0,100.0,135.0,270.0,7.7,30.0,11.6,8.9,3.7,5.2,60.3,Group Captive Solar & Rooftop PV (SEBI Rank #245),Targeting >55% clean electricity mix
Nazara Technolo.,NAZARA,Small Cap,IT & Software Services,IT & Digital Services,368.65,36.0,47.0,88.0,134.0,190.0,286.0,7.1,71.0,10.6,9.2,3.6,5.6,59.4,Group Captive Solar & Rooftop PV (SEBI Rank #506),Targeting >96% clean electricity mix
I R C T C,IRCTC,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,476.05,37.0,59.0,81.0,108.0,145.0,282.0,7.6,32.0,11.4,8.9,3.7,5.2,59.3,Group Captive Solar & Rooftop PV (SEBI Rank #247),Targeting >57% clean electricity mix
Cupid,CUPID,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,283.15,38.0,61.0,84.0,112.0,150.0,288.0,7.6,33.0,11.4,8.9,3.7,5.2,59.3,Group Captive Solar & Rooftop PV (SEBI Rank #248),Targeting >58% clean electricity mix
Narayana Hrudaya,NH,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1858.5,39.0,63.0,87.0,116.0,155.0,294.0,7.6,34.0,11.4,8.9,3.7,5.2,59.3,Group Captive Solar & Rooftop PV (SEBI Rank #249),Targeting >59% clean electricity mix
New India Assura,NIACL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,229.91,40.0,65.0,90.0,120.0,160.0,300.0,7.6,10.0,11.4,8.9,3.7,5.2,59.3,Group Captive Solar & Rooftop PV (SEBI Rank #250),Targeting >35% clean electricity mix
NLC India,NLCINDIA,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,273.05,41.0,67.0,93.0,124.0,165.0,306.0,7.6,11.0,11.4,8.9,3.7,5.2,59.3,Group Captive Solar & Rooftop PV (SEBI Rank #251),Targeting >36% clean electricity mix
Ashok Leyland Ltd,ASHOKLEY,Large Cap,Automotive & Ancillary,Rooftop Solar & Wind PPA in Tamil Nadu,169.0,18.5,43.6,91.0,121.4,152.6,354.3,55.0,60.0,115.0,8.8,3.7,5.1,58.7,Rooftop Solar & Wind PPA in Tamil Nadu,100% RE across manufacturing by 2030
Birla Corporation Ltd,BIRLACORPN,Small Cap,Cement & Building Materials,Onsite Solar + Open access wind/solar,887.35,-26.8,-29.6,-27.5,-6.6,-37.9,33.9,55.0,30.0,135.0,8.1,3.75,4.35,58.7,Onsite Solar + Open access wind/solar,45% RE by 2029
Apollo Tyres Ltd,APOLLOTYRE,Mid Cap,Automotive & Ancillary,Open Access Solar in AP & Gujarat,429.55,-8.9,-21.4,16.9,54.6,90.9,229.3,48.0,32.0,120.0,8.6,3.75,4.85,58.2,Open Access Solar in AP & Gujarat,25% Carbon Intensity cut by 2026
Patanjali Foods,PATANJALI,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,342.5,43.0,71.0,99.0,132.0,175.0,318.0,7.5,13.0,11.2,8.9,3.7,5.2,58.2,Group Captive Solar & Rooftop PV (SEBI Rank #253),Targeting >38% clean electricity mix
3M India,3MINDIA,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,32845.0,45.0,75.0,105.0,140.0,185.0,330.0,7.4,15.0,11.1,8.9,3.7,5.2,57.7,Group Captive Solar & Rooftop PV (SEBI Rank #255),Targeting >40% clean electricity mix
Anand Rathi Wea.,ANANDRATHI,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,2215.9,46.0,77.0,108.0,144.0,190.0,336.0,7.4,16.0,11.1,8.9,3.7,5.2,57.7,Group Captive Solar & Rooftop PV (SEBI Rank #256),Targeting >41% clean electricity mix
Sudeep Pharma,SUDEEPPHRM,Mid Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,1329.3,5.0,30.0,100.0,195.0,340.0,405.0,8.3,40.0,12.5,8.4,3.8,4.6,57.5,Group Captive Solar & Rooftop PV (SEBI Rank #475),Targeting >65% clean electricity mix
Jindal Worldwide,JINDWORLD,Small Cap,Metals & Mining,Metals & Mining,57.51,14.0,58.0,102.0,131.0,250.0,349.0,8.6,44.0,12.9,8.2,3.8,4.4,56.8,Group Captive Solar & Rooftop PV (SEBI Rank #809),Targeting >69% clean electricity mix
Physicswallah,PWL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,126.42,47.0,79.0,111.0,148.0,195.0,342.0,7.3,17.0,10.9,8.9,3.7,5.2,56.7,Group Captive Solar & Rooftop PV (SEBI Rank #257),Targeting >42% clean electricity mix
Natco Pharma,NATCOPHARM,Small Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,828.65,10.0,40.0,55.0,75.0,105.0,175.0,8.2,45.0,12.3,8.4,3.8,4.6,56.6,Group Captive Solar & Rooftop PV (SEBI Rank #480),Targeting >70% clean electricity mix
Marksans Pharma,MARKSANS,Small Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,326.75,13.0,46.0,64.0,87.0,120.0,193.0,8.2,48.0,12.3,8.4,3.8,4.6,56.6,Group Captive Solar & Rooftop PV (SEBI Rank #483),Targeting >73% clean electricity mix
Jubilant Pharmo,JUBLPHARMA,Small Cap,Pharmaceuticals & Healthcare,Pharma & Healthcare,924.5,18.0,56.0,79.0,107.0,145.0,223.0,8.2,53.0,12.3,8.4,3.8,4.6,56.6,Group Captive Solar & Rooftop PV (SEBI Rank #488),Targeting >78% clean electricity mix
Steel Str. Wheel,SSWL,Small Cap,Metals & Mining,Metals & Mining,361.85,22.0,29.0,81.0,118.0,245.0,352.0,8.5,22.0,12.8,8.2,3.8,4.4,56.3,Group Captive Solar & Rooftop PV (SEBI Rank #817),Targeting >47% clean electricity mix
H U D C O,HUDCO,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,180.52,49.0,83.0,117.0,156.0,205.0,354.0,7.2,19.0,10.8,8.9,3.7,5.2,56.2,Group Captive Solar & Rooftop PV (SEBI Rank #259),Targeting >44% clean electricity mix
Bagmane Prime REIT,BAGMANE,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,106.28,-15.0,20.0,55.0,95.0,145.0,295.0,7.2,20.0,10.8,8.9,3.7,5.2,56.2,Group Captive Solar & Rooftop PV (SEBI Rank #260),Targeting >45% clean electricity mix
Adani Ports and SEZ Ltd,ADANIPORTS,Large Cap,Conglomerates & Diversified,Rooftop & Port Land Solar PV,1707.3,21.6,17.9,106.9,108.0,131.4,399.6,65.0,39.0,130.0,8.0,3.7,4.3,55.9,Rooftop & Port Land Solar PV,"Carbon Neutral by 2025, 100% RE by 2030"
PTC Industries,PTCIL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,23830.0,-13.0,24.0,61.0,103.0,155.0,307.0,7.1,22.0,10.6,8.9,3.7,5.2,55.1,Group Captive Solar & Rooftop PV (SEBI Rank #262),Targeting >47% clean electricity mix
HFCL,HFCL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,231.44,-12.0,26.0,64.0,107.0,160.0,313.0,7.1,23.0,10.6,8.9,3.7,5.2,55.1,Group Captive Solar & Rooftop PV (SEBI Rank #263),Targeting >48% clean electricity mix
CRISIL,CRISIL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,4802.0,-11.0,28.0,67.0,111.0,165.0,319.0,7.0,24.0,10.5,8.9,3.7,5.2,54.6,Group Captive Solar & Rooftop PV (SEBI Rank #264),Targeting >49% clean electricity mix
Delhivery,DELHIVERY,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,457.9,-10.0,30.0,70.0,115.0,170.0,325.0,6.9,25.0,10.4,8.9,3.7,5.2,54.1,Group Captive Solar & Rooftop PV (SEBI Rank #265),Targeting >50% clean electricity mix
Saatvik Green,SAATVIKGL,Small Cap,Power Utilities & Cleantech,Renewable Energy & Power,424.4,41.0,67.0,138.0,194.0,340.0,466.0,8.1,41.0,12.1,8.2,3.8,4.4,53.2,Group Captive Solar & Rooftop PV (SEBI Rank #836),Targeting >66% clean electricity mix
Himadri Special,HSCL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,671.05,-8.0,34.0,76.0,123.0,180.0,337.0,6.8,27.0,10.2,8.9,3.7,5.2,53.0,Group Captive Solar & Rooftop PV (SEBI Rank #267),Targeting >52% clean electricity mix
United Breweries,UBL,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1279.4,-7.0,36.0,79.0,127.0,185.0,343.0,6.8,28.0,10.2,8.9,3.7,5.2,53.0,Group Captive Solar & Rooftop PV (SEBI Rank #268),Targeting >53% clean electricity mix
Waaree Energies Ltd,WAAREE,Small Cap,Power Utilities & Cleantech,Captive Solar PV for module gigafactories,500.0,12.5,28.0,45.0,65.0,95.0,130.0,55.0,70.0,110.0,8.0,3.2,4.8,52.8,Captive Solar PV for module gigafactories,100% Green Manufacturing by 2028
Va Tech Wabag,WABAG,Small Cap,IT & Software Services,IT & Digital Services,2005.3,10.0,15.0,35.0,120.0,215.0,350.0,6.3,70.0,9.4,9.2,3.6,5.6,52.6,Group Captive Solar & Rooftop PV (SEBI Rank #545),Targeting >95% clean electricity mix
Karur Vysya Bank,KARURVYSYA,Mid Cap,Banking & Financial Services,BFSI,348.85,-6.0,38.0,82.0,131.0,190.0,349.0,6.7,29.0,10.1,8.9,3.7,5.2,52.5,Group Captive Solar & Rooftop PV (SEBI Rank #269),Targeting >54% clean electricity mix
ITC Hotels,ITCHOTELS,Mid Cap,FMCG & Consumer Goods,FMCG & Consumer Packaged Goods,161.23,-4.0,-3.0,43.0,94.0,155.0,316.0,6.7,31.0,10.1,8.9,3.7,5.2,52.5,Group Captive Solar & Rooftop PV (SEBI Rank #271),Targeting >56% clean electricity mix
Nuvama Wealth,NUVAMA,Mid Cap,Diversified & Manufacturing,Diversified Conglomerates,1815.6,-3.0,-1.0,46.0,98.0,160.0,322.0,6.7,32.0,10.1,8.9,3.7,5.2,52.5,Group Captive Solar & Rooftop PV (SEBI Rank #272),Targeting >57% clean electricity mix
